,,Season,Seed,Team,Team_Name,Slot,StrongSeed,DayZero,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
2003-W01,2003-R1W1,2003,W01,1328,Oklahoma,R1W1,1,11/4/2002,136,1,71,0,54,N,0,24,52,10,18,13,24,11,24,16,14,8,3,12,21,52,6,20,6,8,7,22,8,18,7,2,23
2003-W02,2003-R1W2,2003,W02,1448,Wake Forest,R1W2,1,11/4/2002,137,1,76,0,73,N,0,29,69,6,23,12,20,19,29,13,19,8,9,19,24,60,5,10,20,28,13,25,7,15,12,4,20
2003-W03,2003-R1W3,2003,W03,1393,Syracuse,R1W3,1,11/4/2002,137,1,76,0,65,N,0,30,52,4,11,12,15,11,28,16,18,5,9,17,22,61,6,21,15,18,14,14,16,11,9,2,14
2003-W04,2003-R1W4,2003,W04,1257,Louisville,R1W4,1,11/4/2002,137,1,86,0,64,N,0,35,70,8,24,8,13,15,29,18,12,12,4,22,24,54,2,21,14,22,8,21,11,18,5,3,18
2003-W05,2003-R1W5,2003,W05,1280,Mississippi St,R1W5,1,11/4/2002,137,0,47,1,46,N,0,18,47,5,18,6,8,7,19,5,8,3,0,15,16,44,6,21,8,14,8,22,10,10,6,4,13
2003-W06,2003-R1W6,2003,W06,1329,Oklahoma St,R1W6,1,11/4/2002,137,1,77,0,63,N,0,27,50,7,20,16,28,10,15,15,11,12,0,17,20,41,8,18,15,16,2,13,17,18,5,0,20
2003-W07,2003-R1W7,2003,W07,1386,St Joseph's PA,R1W7,1,11/4/2002,137,0,65,1,63,N,1,25,57,7,18,8,13,14,24,11,15,4,5,16,22,59,6,24,13,16,15,21,11,12,8,4,19
2003-W08,2003-R1W8,2003,W08,1143,California,R1W8,1,11/4/2002,136,1,76,0,74,N,1,27,64,7,20,15,23,18,20,17,13,8,2,14,25,56,9,21,15,20,10,26,16,14,5,8,19
2003-W09,2003-R1W8,2003,W09,1301,NC State,R1W8,0,11/4/2002,136,0,76,1,74,N,1,27,64,7,20,15,23,18,20,17,13,8,2,14,25,56,9,21,15,20,10,26,16,14,5,8,19
2003-W10,2003-R1W7,2003,W10,1120,Auburn,R1W7,0,11/4/2002,137,1,65,0,63,N,1,25,57,7,18,8,13,14,24,11,15,4,5,16,22,59,6,24,13,16,15,21,11,12,8,4,19
