Unique ID,Season,Team,games_won,games_lost,total_wscore,total_lscore,win_score_diff,lose_score_diff,avg_win_score_diff,avg_lose_score_diff,seed,seed_number,ncaa_champ,final_four
1101-2014,2014,1101,2,19,160,1166,7,332,3.5,17.47368421,0,0,0,0
1101-2015,2015,1101,7,21,542,1166,85,389,12.14285714,18.52380952,0,0,0,0
1101-2016,2016,1101,9,18,704,1182,68,241,7.555555556,13.38888889,0,0,0,0
1102-2003,2003,1102,12,16,825,778,187,180,15.58333333,11.25,0,0,0,0
1102-2004,2004,1102,22,6,1404,281,333,60,15.13636364,10,W11,11,0,0
1102-2005,2005,1102,17,12,1097,679,273,96,16.05882353,8,0,0,0,0
1102-2006,2006,1102,22,6,1430,348,287,37,13.04545455,6.166666667,Z13,13,0,0
1102-2007,2007,1102,22,8,1591,464,423,75,19.22727273,9.375,0,0,0,0
1102-2008,2008,1102,14,14,886,726,169,162,12.07142857,11.57142857,0,0,0,0
1102-2009,2009,1102,8,21,553,1112,121,263,15.125,12.52380952,0,0,0,0
1102-2010,2010,1102,8,21,551,1062,107,320,13.375,15.23809524,0,0,0,0
1102-2011,2011,1102,14,14,994,805,160,175,11.42857143,12.5,0,0,0,0
1102-2012,2012,1102,11,16,711,927,121,191,11,11.9375,0,0,0,0
1102-2013,2013,1102,15,13,1121,809,197,183,13.13333333,14.07692308,0,0,0,0
1102-2014,2014,1102,10,18,697,1111,63,225,6.3,12.5,0,0,0,0
1102-2015,2015,1102,12,17,839,1038,164,197,13.66666667,11.58823529,0,0,0,0
1102-2016,2016,1102,12,18,850,1173,70,255,5.833333333,14.16666667,0,0,0,0
1103-2003,2003,1103,13,14,1141,986,122,105,9.384615385,7.5,0,0,0,0
1103-2004,2004,1103,13,15,973,1036,127,138,9.769230769,9.2,0,0,0,0
1103-2005,2005,1103,18,10,1358,647,232,82,12.88888889,8.2,0,0,0,0
1103-2006,2006,1103,21,9,1544,600,266,106,12.66666667,11.77777778,0,0,0,0
1103-2007,2007,1103,25,7,1907,481,430,21,17.2,3,0,0,0,0
1103-2008,2008,1103,23,10,1707,644,325,79,14.13043478,7.9,0,0,0,0
1103-2009,2009,1103,22,12,1534,724,309,108,14.04545455,9,X13,13,0,0
1103-2010,2010,1103,23,10,1714,630,261,110,11.34782609,11,0,0,0,0
1103-2011,2011,1103,22,12,1625,754,265,141,12.04545455,11.75,Z15,15,0,0
1103-2012,2012,1103,21,11,1577,710,291,104,13.85714286,9.454545455,0,0,0,0
1103-2013,2013,1103,25,6,1830,400,349,49,13.96,8.166666667,X12,12,0,0
1103-2014,2014,1103,21,12,1508,733,207,145,9.857142857,12.08333333,0,0,0,0
1103-2015,2015,1103,20,14,1396,894,238,98,11.9,7,0,0,0,0
1103-2016,2016,1103,25,8,1975,544,313,73,12.52,9.125,0,0,0,0
1104-2003,2003,1104,17,11,1270,670,224,104,13.17647059,9.454545455,Y10,10,0,0
